key,input,probability
HGVDHZBSSITLCT-JLJPHGGASA-N,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=NC=C(Cl)C=C2)[C@@H](C1)NC(=O)C1=NC2=C(CN(C)CC2)S1,0.3432904151494121
XPOQHMRABVBWPR-ZDUSSCGKSA-N,FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC3CC3,0.6065270831973655
VLCYCQAOQCDTCN-UHFFFAOYSA-N,NCCCC(N)(C(F)F)C(O)=O,0.11833434186996322
OBWASQILIWPZMG-QZMOQZSNSA-N,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC=C(Cl)C(CC2=CC=C(O[C@H]3CCOC3)C=C2)=C1,0.12680781571158128
XQSPYNMVSIKCOC-NTSWFWBYSA-N,NC1=NC(=O)N(C=C1F)[C@@H]2CS[C@H](CO)O2,0.15237941663746193
XQSPYNMVSIKCOC-NTSWFWBYSA-N,NC1=NC(=O)N(C=C1F)[C@@H]2CS[C@H](CO)O2,0.15237941663746193
GBXSMTUPTTWBMN-XIRDDKMYSA-N,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(O)=O,0.07609937384757746
HTTJABKRGRZYRN-UHFFFAOYSA-N,CC(=O)NC1C(O)OC(CO[S](O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4O[S](O)(=O)=O)C(O)=O)C(O[S](O)(=O)=O)C3N[S](O)(=O)=O)C(O)C2O[S](O)(=O)=O)C(O)=O)C1O,0.3813457831381387
YXPVEXCTPGULBZ-JBDQBEHPSA-N,O.NC1=NC(=O)c2ncn(C3C[C@H](O)[C@@H](CO)C3=C)c2N1,0.36096852337647367
WXCXUHSOUPDCQV-UHFFFAOYSA-N,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,0.5403902923049496
KWGRBVOPPLSCSI-WPRPVWTQSA-N,CN[C@@H](C)[C@H](O)c1ccccc1,0.07324434565857733
UCTWMZQNUQWSLP-VIFPVBQESA-N,CNC[C@H](O)c1ccc(O)c(O)c1,0.12629129703568598
MECHNRXZTMCUDQ-VLOQVYPSSA-N,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3/C[C@@H](O)CCC3=C,0.14826051598131876
YREISLCRUMOYAY-IIPCNOPRSA-N,C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34.OC(=O)\C=C/C(O)=O,0.1514969545931548
GTTBEUCJPZQMDZ-UHFFFAOYSA-N,[H+].[Cl-].COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,0.2028097160645284
ULGZDMOVFRHVEP-RWJQBGPGSA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.39175032570082563
WSEQXVZVJXJVFP-FQEVSTJZSA-N,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,0.11418684571315109
UOACKFBJUYNSLK-XRKIENNPSA-N,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5,0.08126288893073981
AEUTYOVWOVBAKS-UWVGGRQHSA-N,CC[C@@H](CO)NCCN[C@@H](CC)CO,0.1417823327085804
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,0.08437351009615761
BFPYWIDHMRZLRN-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,0.1863668669535028
AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(ccn1)C(N)=S,0.06204993916108844
HAPOVYFOVVWLRS-UHFFFAOYSA-N,CCC1(C)CC(=O)NC1=O,0.06961401571143981
GCKFUYQCUCGESZ-BPIQYHPVSA-N,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,0.1850027989047438
HKVAMNSJSFKALM-CNPAPGRKSA-N,CO[C@@H]1C[C@@H](CC[C@H]1OCCO)C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)/[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C/C=C(C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC,0.22527859555990773
PJMPHNIQZUBGLI-UHFFFAOYSA-N,CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,0.07038187594942871
MIWWSGDADVMLTG-UHFFFAOYSA-N,CSc1ccc(OCc2ncc(n2C)[N+]([O-])=O)cc1,0.08959250169191649
RWTNPBWLLIMQHL-UHFFFAOYSA-N,CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,0.09676542101584228
RFHAOTPXVQNOHP-UHFFFAOYSA-N,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,0.09326819995886187
XRECTZIEBJDKEO-UHFFFAOYSA-N,NC1=C(F)C=NC(=O)N1,0.1231528437967738
HBUBKKRHXORPQB-FJFJXFQQSA-N,Nc1nc(F)nc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,0.16017859962861955
AAXVEMMRQDVLJB-BULBTXNYSA-N,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,0.5140576793581213
MIXMJCQRHVAJIO-RRPCVRMZSA-N,O.CC1(C)O[C@@H]2CC3[C@@H]4C[C@H](F)C5=CC(=O)C=CC5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO.CC6(C)O[C@@H]7CC8[C@@H]9C[C@H](F)C%10=CC(=O)C=CC%10(C)[C@H]9[C@@H](O)C[C@]8(C)[C@@]7(O6)C(=O)CO,0.38789438826504896
GNBHRKFJIUUOQI-UHFFFAOYSA-N,Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1,0.10010202277638056
KRHYYFGTRYWZRS-UHFFFAOYSA-M,[F-],0.09398623667316018
GHASVSINZRGABV-UHFFFAOYSA-N,FC1=CNC(=O)NC1=O,0.10521446487681212
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,0.21067136687926943
PLDUPXSUYLZYBN-UHFFFAOYSA-N,OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,0.10666385040103551
MKXKFYHWDHIYRV-UHFFFAOYSA-N,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,0.25388088482581667
MGNNYOODZCAHBA-GQKYHHCASA-N,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,0.37178282856845785
XTULMSXFIHGYFS-VLSRWLAYSA-N,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c5occc5)C(=O)SCF,0.3010991210502448
FJLGEFLZQAZZCD-VVZAMHAXSA-N,CC(C)n1c2ccccc2c(c3ccc(F)cc3)c1\C=C\[C@@H](O)C[C@H](O)CC(O)=O,0.08532995902244578
LFMYNZPAVPMEGP-PIDGMYBPSA-N,COCCCC\C(=N/OCCN)c1ccc(cc1)C(F)(F)F.OC(=O)\C=C/C(O)=O,0.6067504003077784
OVBPIULPVIDEAO-LBPRGKRZSA-N,NC1=Nc2ncc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)nc2C(=O)N1,0.6817299287342587
RIKMMFOAQPJVMX-UHFFFAOYSA-N,Cc1c[nH]nc1,0.07490702034111094
BPZSYCZIITTYBL-UHFFFAOYSA-N,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,0.13414314401755295
ZZUFCTLCJUWOSV-UHFFFAOYSA-N,N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl,0.13635710568314682
XGALLCVXEZPNRQ-UHFFFAOYSA-N,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,0.16565224183667787
SDUQYLNIPVEERB-QPPQHZFASA-N,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,0.2833916891261295
CEAZRRDELHUEMR-UHFFFAOYSA-N,CNC(C)C1CCC(N)C(O1)OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O,0.7389290971192871
MLSQGNCUYAMAHD-ITNVBOSISA-N,[H][C@@]12CN(C(=O)[C@@]([H])(NC(=O)O[C@]3([H])CCC[C@@]3([H])OC\C=C\C(F)(F)C3=NC4=C(C=CC=C4)N=C3O1)C(C)(C)C)[C@@]([H])(C2)C(=O)N[C@@]1(C[C@H]1C(F)F)C(=O)NS(=O)(=O)C1(C)CC1,0.550495433506798
BOVGTQGAOIONJV-UHFFFAOYSA-N,Cc1ccc(cc1)[S](=O)(=O)NC(=O)NN2CC3CCCC3C2,0.11084646537533639
GZCGUPFRVQAUEE-SLPGGIOYSA-N,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,0.13851409689667626
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,O=CCCCC=O,0.08098430083286269
SANLOIZWNRODOC-UHFFFAOYSA-N,OCC(O)CO[N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,0.1892610196302363
ANGKOCUUWGHLCE-UHFFFAOYSA-N,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,0.09477195555137324
BLCLNMBMMGCOAS-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc4[nH]cnc4)NC(=O)C5CCC(=O)N5)C(=O)NC(CCCN=C(N)N)C(=O)N6CCCC6C(=O)NNC(N)=O,0.2076567582969232
MFWNKCLOYSRHCJ-AGUYFDCRSA-N,CN1[C@H]2CCC[C@@H]1CC(C2)NC(=O)c3nn(C)c4ccccc34,0.11868329004037796
IIUZTXTZRGLYTI-LKUJNTHKSA-N,COC1CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O,0.08986380178035525
LNEPOXFFQSENCJ-UHFFFAOYSA-N,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,0.18811966847955722
BCQZXOMGPXTTIC-UHFFFAOYSA-N,FC(F)(F)C(Cl)Br,0.2643489820291659
HTTJABKRGRZYRN-UHFFFAOYSA-N,CC(=O)NC1C(O)OC(CO[S](O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4O[S](O)(=O)=O)C(O)=O)C(O[S](O)(=O)=O)C3N[S](O)(=O)=O)C(O)C2O[S](O)(=O)=O)C(O)=O)C1O,0.3813457831381387
SPSXSWRZQFPVTJ-ZQQKUFEYSA-N,CSCC[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CC4C=NC=N4)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N5CCC[C@H]5C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)OC(=O)CNC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H]6CCCN6C(=O)[C@H](Cc7ccccc7)NC(=O)[C@H](Cc8ccc(O)cc8)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](N)CCCNC(N)=N,0.1752743422525238
JZUFKLXOESDKRF-UHFFFAOYSA-N,N[S](=O)(=O)c1cc2c(NCN[S]2(=O)=O)cc1Cl,0.14275994157172842
JYGXADMDTFJGBT-VWUMJDOOSA-N,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,0.5004320206371147
WVLOADHCBXTIJK-YNHQPCIGSA-N,CN1CC[C@@]23[C@H]4CCC(=O)[C@@H]2Oc5c(O)ccc(C[C@@H]14)c35,0.09998439807514517
VSNHCAURESNICA-UHFFFAOYSA-N,NC(=O)NO,0.10336929141213753
HOZOZZFCZRXYEK-GXLSIKBRSA-M,[Br-].CCCC[N+]1(C)[C@H]2CC(C[C@H]1[C@@H]3O[C@H]23)OC(=O)C(CO)c4ccccc4,0.10882062769709461
WTGQALLALWYDJH-WYHSTMEOSA-N,[Br-].CN1[C@H]2CC(C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)c4ccccc4.[H+],0.13742251323292617
XYFPWWZEPKGCCK-GOSISDBHSA-N,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,0.08989655507440318
HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)Cc1ccc(cc1)C(C)C(O)=O,0.07393544886015908
HOMGKSMUEGBAAB-UHFFFAOYSA-N,ClCCN[P]1(=O)OCCCN1CCCl,0.10776083086942673
KTUFNOKKBVMGRW-UHFFFAOYSA-N,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3,0.11409858986081559
GSOSVVULSKVSLQ-XMCAPODCSA-N,O.C[C@H](O)[C@@H]1[C@H]2CC(=C(N2C1=O)C(O)=O)SCCN=CN,0.13597495339830307
NDDAHWYSQHTHNT-UHFFFAOYSA-N,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)[S](N)(=O)=O,0.21363492237063877
CGIGDMFJXJATDK-UHFFFAOYSA-N,COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3,0.14536334143875274
PBGKTOXHQIOBKM-FHFVDXKLSA-N,CC[C@H](C)[C@H](NC(=O)CN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3[nH]cnc3)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc4ccccc4)C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc5[nH]cnc5)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc6ccc(O)cc6)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@H](Cc7ccc(O)cc7)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc8ccc(O)cc8)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](CC(N)=O)C(O)=O)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](Cc9ccccc9)C(=O)N[C@@H](Cc%10ccccc%10)C(=O)N[C@@H](Cc%11ccc(O)cc%11)C(=O)N[C@@H]([C@@H](C)O)C(=O)N%12CCC[C@H]%12C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(O)=O)NC1=O)[C@@H](C)O)[C@@H](C)CC,0.26536611481312583
ZCYVEMRRCGMTRW-UHFFFAOYSA-N,[I],0.09539757036389988
NTHXOOBQLCIOLC-UHFFFAOYSA-N,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.23409088321850385
LHLMOSXCXGLMMN-UHFFFAOYSA-M,[Br-].CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,0.12181826199698344
UWKQSNNFCGGAFS-XIFFEERXSA-N,CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15)[C@@](O)(CC)C(=O)OC4,0.18886696436385922
PIWKPBJCKXDKJR-UHFFFAOYSA-N,FC(F)OC(Cl)C(F)(F)F,0.13723198644383633
QRXWMOHMRWLFEY-UHFFFAOYSA-N,NNC(=O)c1ccncc1,0.8622619164180155
QRXWMOHMRWLFEY-UHFFFAOYSA-N,NNC(=O)c1ccncc1,0.8622619164180155
MOYKHGMNXAOIAT-JGWLITMVSA-N,[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+]([O-])=O,0.1733305132065867
VHVPQPYKVGDNFY-ZPGVKDDISA-N,CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OC[C@H]5CO[C@@](Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4,0.3199261478660925
SPBDXSGPUHCETR-MVGRHBATSA-N,CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]3C[C@@H](C/C=C(C)/[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]\%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C/C=C%10C)O[C@@]%14(CC[C@H](C)[C@H](O%14)C(C)C)C%13)[C@]%11%12O)C,0.32770272840751086
SBUJHOSQTJFQJX-UHFFFAOYSA-N,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0.9128227671672764
YQEZLKZALYSWHR-UHFFFAOYSA-N,CNC1(CCCCC1=O)c2ccccc2Cl,0.08972141202964308
JCQLYHFGKNRPGE-FCVZTGTOSA-N,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0.5002553109541078
JTEGQNOMFQHVDC-NKWVEPMBSA-N,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2,0.09586810375929937
JTEGQNOMFQHVDC-NKWVEPMBSA-N,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2,0.09586810375929937
PYZRQGJRPPTADH-UHFFFAOYSA-N,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,0.10027567347000116
GGXICVAJURFBLW-RDSJPUOVSA-N,CC(C)OC(=O)CCC/C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc2ccccc2,0.11568701248360339
VRTWBAAJJOHBQU-KMWAZVGDSA-N,COC(=O)N[C@@H](C(C)C)C(=O)N1CC2(CC2)C[C@H]1C1=NC(=CN1)C1=CC=C2C3=CC=C(C=C3C(F)(F)C2=C1)C1=CC=C2NC(=NC2=C1)[C@@H]1[C@H]2CC[C@H](C2)N1C(=O)[C@@H](NC(=O)OC)C(C)C,0.3257401908722368
GOTYRUGSSMKFNF-UHFFFAOYSA-N,Nc1cccc2C(=O)N(Cc12)C3CCC(=O)NC3=O,0.23080322644009252
GFIJNRVAKGFPGQ-UHFFFAOYSA-N,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CO)NC(=O)C(Cc3c[nH]c4ccccc34)NC(=O)C(Cc5[nH]cnc5)NC(=O)C6CCC(=O)N6,0.16911264513642885
HLFSDGLLUJUHTE-SNVBAGLBSA-N,C1CN2C[C@@H](N=C2S1)c3ccccc3,0.06823647443985174
WTDRDQBEARUVNC-LURJTMIESA-N,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,0.08974731982597331
GSDSWSVVBLHKDQ-JTQLQIEISA-N,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O,0.9216469127759874
WWYNJERNGUHSAO-XUDSTZEESA-N,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,0.2304474762181995
XUIIKFGFIJCVMT-UHFFFAOYSA-N,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O,0.12183018411950816
NNJVILVZKWQKPM-UHFFFAOYSA-N,CCN(CC)CC(=O)Nc1c(C)cccc1C,0.06995790239420623
CZRQXSDBMCMPNJ-ZUIPZQNBSA-N,O.O.NCCCC[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N2CCC[C@H]2C(O)=O,0.12719085318393525
XGZVUEUWXADBQD-UHFFFAOYSA-L,[Li+].[Li+].[O-]C([O-])=O,0.1321033635342194
RDOIQAHITMMDAJ-UHFFFAOYSA-N,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,0.15703310996728306
KJHKTHWMRKYKJE-SUGCFTRWSA-N,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4,0.11239651900959503
JCCNYMKQOSZNPW-UHFFFAOYSA-N,CCOC(=O)N1CCC(CC1)=C2c3ccc(Cl)cc3CCc4cccnc24,0.11632312266537807
DIWRORZWFLOCLC-UHFFFAOYSA-N,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,0.10861038564522946
PSIFNNKUMBGKDQ-UHFFFAOYSA-N,CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4n[nH]nn4,0.09653672157734848
PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,0.12916294399479966
DKNPRRRKHAEUMW-UHFFFAOYSA-N,[K+].I[I-]I,
DYLGFOYVTXJFJP-MFKUBSTISA-N,CCCCN(CCCC)CC(O)c1cc(Cl)cc2\C(=C\c3ccc(Cl)cc3)c4cc(Cl)ccc4c12,0.15150640478984648
CSNNHWWHGAXBCP-UHFFFAOYSA-L,[Mg++].[O-][S]([O-])(=O)=O,0.2696718078586723
FBPFZTCFMRRESA-KVTDHHQDSA-N,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.2832888867668271
OPXLLQIJSORQAM-UHFFFAOYSA-N,COC(=O)Nc1[nH]c2cc(ccc2n1)C(=O)c3ccccc3,0.10446177318809009
PSGAAPLEWMOORI-PEINSRQWSA-N,C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(C)=O)C(C)=O)[C@@]4(C)CCC(=O)C=C14,0.22782255317662356
XEEQGYMUWCZPDN-UHFFFAOYSA-N,OC(C1CCCCN1)c2cc(nc3c2cccc3C(F)(F)F)C(F)(F)F,0.08283416110561016
XOGYVDXPYVPAAQ-SESJOKTNSA-M,O[Sb](=O)=O.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.4210764702028786
DELCIEAGWBSQGH-WZTVWXICSA-N,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC(=O)c1c(I)cc(I)c(I)c1NC(=O)COCCOCCOCC(=O)Nc2c(I)c(I)cc(I)c2C(O)=O,0.27159430242050436
JCYZMTMYPZHVBF-UHFFFAOYSA-N,Nc1nc(N)nc(Nc2ccc(cc2)[As]3SCC(CO)S3)n1,
SGDBTWWWUNNDEQ-UHFFFAOYSA-N,NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O,0.0861729857296004
GLVAUDGFNGKCSF-UHFFFAOYSA-N,S=C1N=CNc2nc[nH]c12,0.09297571934096581
CTUAQTBUVLKNDJ-TXBRDXQXSA-N,O.O.O.C[C@H](O)C1C2[C@@H](C)C(=C(N2C1=O)C(O)=O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C,0.13521991021569327
KBOPZPXVLCULAV-UHFFFAOYSA-N,Nc1ccc(O)c(c1)C(O)=O,0.48590336573543336
XOGTZOOQQBDUSI-UHFFFAOYSA-M,[Na+].[O-][S](=O)(=O)CCS,0.15097462613525486
OETHQSJEHLVLGH-UHFFFAOYSA-N,[H+].[Cl-].CN(C)C(=N)N=C(N)N,0.10476751751062512
USSIQXCVUWKGNF-UHFFFAOYSA-N,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,0.10239643203867345
PMRYVIKBURPHAH-UHFFFAOYSA-N,CN1C=CNC1=S,0.07808609586744886
FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,0.8156896426795074
UNBRKDKAWYKMIV-QWQRMKEZSA-N,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0.13476058351716477
VHRSUDSXCMQTMA-PJHHCJLFSA-N,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,0.541654248405081
UYIDWJXVRJXHKX-UHFFFAOYSA-N,[Cl-].CC1=CC=CC=CC=C[SH+]1,0.09248019512486935
TTWJBBZEZQICBI-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.1255251481894161
IUBSYMUCCVWXPE-UHFFFAOYSA-N,COCCc1ccc(OCC(O)CNC(C)C)cc1,0.08174732574367065
VAOCPAMSLUNLGC-UHFFFAOYSA-N,Cc1ncc(n1CCO)[N+]([O-])=O,0.0832294595617013
